# package_name	weekly_downloads
mobiscroll	334
echo	332
bookmarklet	331
simpleweather	329
algebra	326
font-face	325
jquery-dialog	325
telegram-web-app	325
responsive-tabs	324
bootstrap2	323
dts	321
share	321
jquery-custom-select	319
waves	317
website	316
selectivizr	315
datatables-scroller	313
jssor-slider	313
kity	310
pm-rpc	309
jquery-range	307
caman	306
blink	303
visibility	301
webuploader	298
mixins	297
pyfmt	297
uniform	295
image	294
quicksettings	294
dashboard	293
fastselect	293
material-kit	292
fastsearch	291
service-worker	291
dropdown	290
sql-wasm	290
firebase-storage	289
neataptic	288
pouchdb-load	288
nivo-slider	286
salvattore	286
colorpicker	285
variables	284
jquery-caret	282
nature	282
pixi	281
jquery-bgiframe	280
simon	280
tfjs	280
magic-input	279
stats	279
questionnaire	278
semantic	277
filedrop	275
dust	271
jquery-fancybox	271
progress-bar	271
widgets	267
notice	266
autolayout	264
point	264
webvr-ui	264
countries	262
wow	262
bootstrap-treeview	261
snackbar	261
invoke	257
collapse	256
browser-polyfill	254
counter	254
controllers	253
atlas	252
fileuploader	251
localization	251
toggle	251
a11y-toggle	250
makefile	244
vibrant	244
front	243
shuffle	243
protobuf	240
syntax	239
crystal	237
d3-legend	236
solid	235
splide	235
unslider	232
jquery-circliful	231
trend	231
backstretch	229
bsky-embed	228
matter	228
flat-ui	227
identity	227
p5play	227
polyglot	227
timeline	227
impress	226
zxcvbn-async	226
font	225
ada	224
markmap-autoloader	222
seti-ui	220
uikit-icons	220
windows	220
html-docx	217
jquery-transform	217
message	217
box	216
box2dweb	216
slot	215
jquery-timers	211
medium-editor-insert-plugin	210
onion	210
navbar	207
buttons	206
mdb	206
getmdl-select	205
light	204
django	201
vim	199
datatables-fixedheader	198
authentication	195
jquery-poshytip	195
tacit-css	194
github-markdown	193
joinable	193
jquery-i18n-properties	193
nisarg	193
rust	193
oss	191
gui	190
hover	190
icon	190
inlet	190
toggles	190
typer	190
shim	189
flv	187
head	185
offcanvas	183
simptip	183
apply	182
storelocator	182
gist-embed	180
load-image	180
devices	179
jquery-dotdotdot	179
loaders	178
mails	178
maps	177
parsley	177
simplify-commerce	177
icomoon	176
debugger	175
kityminder-core	175
sha224	175
animation	174
banner	174
move	174
dotlottie-player	173
dots	173
responsive	171
fontello	170
notes	170
staging	170
webcomponents	170
enjoyhint	169
ie8	168
imagelightbox	168
filters	167
inflate	167
prism-wiki	167
social-likes	167
elixir	166
feather	166
line	166
polymer	165
handlers	163
animations	161
carbon	160
color-picker	159
gtm	157
preloadjs	156
scrollbar	154
sticky	154
screen	152
typing	152
monitor	150
morris	150
weather	149
jscolor	148
blowup	147
clmtrackr	146
jquery-weui	146
cmake	145
toolbar	145
lc-lightbox-lite	144
responsive-nav	143
chatbot	142
gauss	140
jquery-flot-resize	140
bootstrap-growl	139
viz	139
instafeed	138
widget	138
layer	137
preloader	137
revslider	137
